"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000064351",795930.951249787,0.306779269931778,0.325629310912877,0.942111964895746,0.346135319354614,0.608298647450621,"mt-Co1"
"ENSMUSG00000013643",324351.373790316,0.934524835127834,0.290915386241307,3.21235960463318,0.00131649476088866,0.0169333692652244,"Lypd8"
"ENSMUSG00000064370",304877.505984746,0.45219642208005,0.332986521244088,1.35800218096088,0.174462992115104,0.417466587510115,"mt-Cytb"
"ENSMUSG00000064341",227862.348533976,0.592789057155248,0.3095751926439,1.91484676821997,0.0555120481228653,0.211688819278994,"mt-Nd1"
"ENSMUSG00000064363",177142.99694817,0.366824397978362,0.336884080210661,1.08887424347561,0.276209345810504,0.542330283765091,"mt-Nd4"
"ENSMUSG00000049382",122711.118827852,0.648864071765396,0.233017080678646,2.7846202084226,0.00535904526226021,0.0455015538032245,"Krt8"
"ENSMUSG00000053964",103946.757751281,0.406308421574847,0.212891456763317,1.90852384474292,0.0563235442946213,0.213689546049837,"Lgals4"
"ENSMUSG00000064345",100969.003953026,0.45153674836388,0.350149460009581,1.28955431875156,0.197205445118232,0.449291416725025,"mt-Nd2"
"ENSMUSG00000119584",98901.235460979,0.425707698352159,0.438550484962266,0.970715374739098,0.331690033513751,0.59563525826955,"Rn18s-rs5"
"ENSMUSG00000074115",98856.2357912591,0.880012086666419,0.338818427904127,2.59729700096309,0.00939606409242126,0.0678407505359781,"Saa1"
"ENSMUSG00000037742",84553.1576469797,-0.32789866506937,0.109641092304875,-2.9906548555499,0.00278379940940819,0.0290068231545634,"Eef1a1"
"ENSMUSG00000020911",83035.7301524099,0.490542042680011,0.236168710728658,2.07708312064933,0.0377938881899862,0.167840226265939,"Krt19"
"ENSMUSG00000026701",80797.7740476906,0.00878466708784787,0.336667174031225,0.0260930312351543,0.979183135440519,0.991926745819317,"Prdx6"
"ENSMUSG00000029580",78597.7474042299,1.06559317814242,0.204274523318609,5.21647614607526,1.82359047351312e-07,1.656500724385e-05,"Actb"
"ENSMUSG00000037390",73775.2752112931,0.0189273167625116,0.234355057070195,0.0807634236663493,0.935630096696522,0.974073067521529,"Muc3"
"ENSMUSG00000064367",72170.560698614,0.498270842525936,0.426786534983228,1.16749428972851,0.243010813014884,0.504710675537422,"mt-Nd5"
"ENSMUSG00000078664",73074.4077697354,1.61215677089632,0.320029785357821,5.03752102040686,4.71599783417092e-07,3.61021043877963e-05,"Sprr2a1"
"ENSMUSG00000047517",72628.2976578342,1.37938642200189,0.288383365650741,4.78316916403721,1.72552788834014e-06,0.000107056035817443,"Dmbt1"
"ENSMUSG00000068893",57036.9434287381,1.21584944028196,0.335174617979764,3.62751048277577,0.000286167160070893,0.00561248298961354,"Sprr2a2"
"ENSMUSG00000026417",53944.6600672672,-0.0125617757791838,0.266904394749416,-0.0470647019168698,0.962461659936036,0.985068035866937,"Pigr"
"ENSMUSG00000000308",54251.6238343874,0.344220484025384,0.321213735904859,1.07162442183774,0.283888759565067,0.550638295796682,"Ckmt1"
