"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000064351",795930.951249787,-0.175932714418967,0.325629235316731,-0.540285377778939,0.589000240806867,0.758576051266425,"mt-Co1"
"ENSMUSG00000013643",324351.373790316,0.673611518134852,0.290915325902215,2.31548996618099,0.0205861330474205,0.100444033900097,"Lypd8"
"ENSMUSG00000064370",304877.505984746,-0.00217908199211936,0.332986277544346,-0.00654405943749186,0.994778633277132,0.997176039193533,"mt-Cytb"
"ENSMUSG00000064341",227862.348533976,0.11188290374662,0.309574751097549,0.361408362115956,0.717794197796646,0.84484332580095,"mt-Nd1"
"ENSMUSG00000064363",177142.99694817,-0.0648472437844061,0.336883696224664,-0.192491487451385,0.847357235261988,0.920080064487068,"mt-Nd4"
"ENSMUSG00000049382",122711.118827852,0.50220800751205,0.233017382545082,2.15523838619588,0.0311431844951715,0.131829065248792,"Krt8"
"ENSMUSG00000053964",103946.757751281,0.201310732774759,0.212891459197388,0.945602672524822,0.344351280617387,0.561352315174402,"Lgals4"
"ENSMUSG00000064345",100969.003953026,0.045198890324593,0.350148849117097,0.129084789050606,0.89729055788371,0.947128947037821,"mt-Nd2"
"ENSMUSG00000119584",98901.235460979,-0.131858898709096,0.438549689008362,-0.300670373309926,0.763665862651259,0.872596834332479,"Rn18s-rs5"
"ENSMUSG00000074115",98856.2357912591,0.620281365803992,0.338818237826565,1.8307201223374,0.0671423280588877,0.216822095287971,"Saa1"
"ENSMUSG00000037742",84553.1576469797,-0.345307438647645,0.109643129247751,-3.14937598932792,0.00163619534919142,0.0179764706616892,"Eef1a1"
"ENSMUSG00000020911",83035.7301524099,0.382511032552967,0.236169416531099,1.61964676955789,0.105308176811876,0.285249972238959,"Krt19"
"ENSMUSG00000026701",80797.7740476906,0.114732143488909,0.336668353259855,0.340786837782623,0.733264059911589,0.854626937038586,"Prdx6"
"ENSMUSG00000029580",78597.7474042299,1.0073917237702,0.204276014988269,4.93152230244973,8.15912500992402e-07,6.02727580986021e-05,"Actb"
"ENSMUSG00000037390",73775.2752112931,-0.296053967689447,0.234354391213615,-1.26327467625556,0.206490483773966,0.420420244812071,"Muc3"
"ENSMUSG00000064367",72170.560698614,-0.0923694806119177,0.426785171108778,-0.216430857641899,0.828651915300401,0.910303975755438,"mt-Nd5"
"ENSMUSG00000078664",73074.4077697354,1.90531955595347,0.320034304635025,5.9534853869067,2.62491303414726e-09,8.30566232554761e-07,"Sprr2a1"
"ENSMUSG00000047517",72628.2976578342,1.34565321457269,0.288385098232734,4.66616764464964,3.06869361423622e-06,0.000169851744216544,"Dmbt1"
"ENSMUSG00000068893",57036.9434287381,1.18776384302821,0.335176352839315,3.54369821428789,0.000394556597645297,0.00633727327097797,"Sprr2a2"
"ENSMUSG00000026417",53944.6600672672,0.124064314209876,0.266907102807308,0.464822078187419,0.642058875701176,0.79561185405899,"Pigr"
"ENSMUSG00000000308",54251.6238343874,0.329018600135496,0.321215057529259,1.02429382565768,0.305696513386608,0.526306259185503,"Ckmt1"
"ENSMUSG00000026208",51577.0291273907,0.894962846138925,0.746833909117226,1.19834254338664,0.230783690647737,0.447953007560299,"Des"
