"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000064351",795930.951249787,0.482711984350745,0.325629192107032,1.48239775809806,0.13823449016022,0.999123527598198,"mt-Co1"
"ENSMUSG00000013643",324351.373790316,0.260913316992981,0.290916116521682,0.896867867317127,0.369789428114546,0.999123527598198,"Lypd8"
"ENSMUSG00000064370",304877.505984746,0.454375504072169,0.332986405277697,1.36454671082814,0.172395563382107,0.999123527598198,"mt-Cytb"
"ENSMUSG00000064341",227862.348533976,0.480906153408628,0.309575205619594,1.55343885646826,0.120318326016117,0.999123527598198,"mt-Nd1"
"ENSMUSG00000064363",177142.99694817,0.431671641762768,0.336883768465583,1.28136669727045,0.20006489583431,0.999123527598198,"mt-Nd4"
"ENSMUSG00000049382",122711.118827852,0.146656064253346,0.233018873612399,0.629374187505909,0.529104112738551,0.999123527598198,"Krt8"
"ENSMUSG00000053964",103946.757751281,0.204997688800088,0.212892000593279,0.962918701636553,0.335588323557918,0.999123527598198,"Lgals4"
"ENSMUSG00000064345",100969.003953026,0.406337858039287,0.350149278443542,1.16047035665905,0.24585735602724,0.999123527598198,"mt-Nd2"
"ENSMUSG00000119584",98901.235460979,0.557566597061256,0.43854991089853,1.27138686659148,0.203591052581246,0.999123527598198,"Rn18s-rs5"
"ENSMUSG00000074115",98856.2357912591,0.259730720862427,0.338820230118324,0.766573828167589,0.443334941100409,0.999123527598198,"Saa1"
"ENSMUSG00000037742",84553.1576469797,0.0174087735782746,0.109634948762611,0.158788541197472,0.873835477065602,0.999123527598198,"Eef1a1"
"ENSMUSG00000020911",83035.7301524099,0.108031010127043,0.236170606757828,0.457427838333072,0.647363558827388,0.999123527598198,"Krt19"
"ENSMUSG00000026701",80797.7740476906,-0.105947476401061,0.336667219267082,-0.314694957922267,0.752993272893564,0.999123527598198,"Prdx6"
"ENSMUSG00000029580",78597.7474042299,0.0582014543722149,0.204281727727066,0.284907784067579,0.775714792214391,0.999123527598198,"Actb"
"ENSMUSG00000037390",73775.2752112931,0.314981284451959,0.234352352298626,1.3440500228075,0.178932211591631,0.999123527598198,"Muc3"
"ENSMUSG00000064367",72170.560698614,0.590640323137854,0.426785844863925,1.38392669355323,0.166380902254176,0.999123527598198,"mt-Nd5"
"ENSMUSG00000078664",73074.4077697354,-0.293162785057148,0.320040754157764,-0.916017042356531,0.359657956344561,0.999123527598198,"Sprr2a1"
"ENSMUSG00000047517",72628.2976578342,0.0337332074292018,0.288392227181621,0.116969891175179,0.90688391302387,0.999123527598198,"Dmbt1"
